date,close,volume,open,high,low,symbol
2024-04-16,218.34,4176672,217.7,219.38,216.51,AXP
2024-04-15,218.4,3459235,221.89,222.73,216.82,AXP
2024-04-12,218.2,2441341,217.0,218.275,216.115,AXP
2024-04-11,218.2,3139034,217.5,219.1701,214.5148,AXP
2024-04-10,217.65,3115019,217.51,219.5,215.52,AXP
2024-04-09,219.84,3503402,222.99,223.93,217.97,AXP
2024-04-08,224.11,1401323,223.46,224.85,223.125,AXP
2024-04-05,222.46,1827905,220.0,223.12,219.52,AXP
2024-04-04,219.59,3035326,229.14,229.68,219.21,AXP
2024-04-03,226.63,2070155,225.81,227.255,225.25,AXP
2024-04-02,225.53,1984722,226.37,226.97,224.5905,AXP
2024-04-01,227.61,1616807,227.44,228.57,226.83,AXP
2024-03-28,227.69,2295844,228.46,228.46,226.34,AXP
2024-03-27,227.75,2153112,227.2,228.0,225.14,AXP
2024-03-26,224.46,2106373,226.62,226.87,224.32,AXP
2024-03-25,226.03,2119586,225.34,226.99,225.23,AXP
2024-03-22,225.96,2284653,229.05,230.54,225.91,AXP
2024-03-21,229.12,3523879,229.11,231.69,228.99,AXP
2024-03-20,227.91,2249652,221.49,228.06,221.225,AXP
2024-03-19,221.69,1817740,221.05,221.95,219.37,AXP
2024-03-18,220.97,1893106,219.9,221.73,218.99,AXP
2024-03-15,218.46,5267916,220.98,221.595,217.217,AXP
2024-03-14,220.47,2418002,224.28,224.29,219.1,AXP
2024-03-13,222.81,2693104,223.14,223.49,221.87,AXP
2024-03-12,222.65,2067715,221.24,223.4425,219.64,AXP
2024-03-11,220.19,2808177,221.92,222.36,218.2938,AXP
2024-03-08,223.37,2242892,223.04,224.895,222.8369,AXP
2024-03-07,223.42,2974124,221.01,224.69,220.81,AXP
2024-03-06,218.45,2727955,217.62,219.29,217.27,AXP
2024-03-05,217.2,2672289,217.44,218.9,216.1218,AXP
2024-03-04,218.91,2625426,219.07,219.58,217.24,AXP
2024-03-01,219.66,2342883,219.31,220.38,218.43,AXP
2024-02-29,219.42,5186513,218.99,219.74,217.65,AXP
2024-02-28,218.03,2459415,217.18,219.2,216.76,AXP
2024-02-27,217.98,2428235,217.43,218.08,216.295,AXP
2024-02-26,216.96,2684535,213.42,217.54,213.25,AXP
2024-02-23,214.56,2617090,215.0,216.315,214.255,AXP
2024-02-22,213.99,3027833,212.48,215.545,212.48,AXP
2024-02-21,210.89,2600172,211.6,212.69,209.1,AXP
2024-02-20,212.49,3341695,211.0,213.75,210.28,AXP
2024-02-16,212.56,2831527,212.53,214.29,211.87,AXP
2024-02-15,212.53,2644546,211.47,213.12,210.65,AXP
2024-02-14,210.9,2770792,211.148,211.291,208.8243,AXP
2024-02-13,209.67,3381728,210.22,210.97,207.61,AXP
2024-02-12,212.26,4041427,212.25,214.01,211.61,AXP
